YEAR,PAPER,DATE OF REPORT,DATE OF INCIDENT,LOCATION,HEADLINE,LINK
,,"AUGUST 10, 2019",,,Herdsmen Attack on A’Ibom community: Gov Emmanuel urges security agencies to fish out culprits,https://www.vanguardngr.com/2019/08/herdsmen-attack-on-aibom-community-gov-emmanuel-urges-security-agencies-to-fish-out-culprits/
,,"AUGUST 10, 2019",,,"Herdsmen: We’ve filed suit in International Court, says World Igbo Assembly President",https://www.vanguardngr.com/2019/08/herdsmen-weve-filed-suit-in-international-court-says-world-igbo-assembly-president/
,,"AUGUST 7, 2019",,,Herdsmen killings: Accusing govt of levity worsens situation – Presidency,https://www.vanguardngr.com/2019/08/herdsmen-killings-accusing-govt-of-levity-worsens-situation-presidency/
,,"AUGUST 6, 2019",,,"I saw hell in hands of herdsmen, says Ayogu",https://www.vanguardngr.com/2019/08/i-saw-hell-in-hands-of-herdsmen-says-ayogu/
,,"AUGUST 6, 2019",,,Abia community sends SOS to govt over herdsmen crisis,https://www.vanguardngr.com/2019/08/abia-community-sends-sos-to-govt-over-herdsmen-crisis-2/
,,"AUGUST 5, 2019",,,Labourer survives herdsmen attack in Anambra school,https://www.vanguardngr.com/2019/08/labourer-survives-herdsmen-attack-in-anambra-school/
,,"AUGUST 3, 2019",,,Onaiyekan wants violent Fulani herdsmen cautioned,https://www.vanguardngr.com/2019/08/onaiyekan-wants-violent-fulani-herdsmen-cautioned/
,,"AUGUST 3, 2019",,,Killing of Catholic Priest: Pray for our dear country – Buhari begs Religious leaders,https://www.vanguardngr.com/2019/08/killing-of-catholic-priest-pray-for-our-dear-country-buhari-begs-religious-leaders/
,,"AUGUST 3, 2019",,,Don’t blame every problem on herdsmen — Kukah,https://www.vanguardngr.com/2019/08/dont-blame-every-problem-on-herdsmen-kukah/
,,"AUGUST 3, 2019",,,Worsening Insecurity: Suspected herdsmen kill Catholic priest in Enugu,https://www.vanguardngr.com/2019/08/worsening-insecurity-suspected-herdsmen-kill-catholic-priest-in-enugu/
,,"AUGUST 3, 2019","AUGUST 3, 2019",University of Abuja (UniAbuja),Video: Pandemonium as herdsmen invade UniAbuja,https://www.vanguardngr.com/2019/08/video-pandemonium-as-herdsmen-invade-uniabuja/
,,"AUGUST 2, 2019","AUGUST 2, 2019",Ihe-Agbudu Road in Awgu Local Government Area,Catholic priest killed by suspected herdsmen,https://www.vanguardngr.com/2019/08/just-in-catholic-parish-priest-fr-offu-shot-dead-by-suspected-herdsmen-in-enugu/
,,"AUGUST 1, 2019",,,"Ranching: Akwa Ibom imports 2,000 cattle from Brazil",https://www.vanguardngr.com/2019/08/ranching-akwa-ibom-imports-2000-cattle-from-brazil/
,,"JULY 29, 2019",,,Herdsmen: OMPALAN inaugurates peace c’ttee,https://www.vanguardngr.com/2019/07/herdsmen-ompalan-inaugurates-peace-cttee/
,,"JULY 29, 2019",,,Herdsmen: OMPALAN inaugurates peace c’ttee,https://www.vanguardngr.com/2019/07/herdsmen-ompalan-inaugurates-peace-cttee-2/
,,"JULY 28, 2019",,,Insecurity: Southern youths vow to defend people against herdsmen,https://www.vanguardngr.com/2019/07/insecurity-southern-youths-vow-to-defend-people-against-herdsmen/
,,"JULY 26, 2019",,,"Anger, tension in Ondo as herdsmen set up vigilante group",https://www.vanguardngr.com/2019/07/anger-tension-in-ondo-as-herdsmen-set-up-vigilante-group/
,,"JULY 25, 2019",,,"BMO to Afenifere: Herdsmen attacks in South West a passing phase, will fizzle out",https://www.vanguardngr.com/2019/07/bmo-to-afenifere-herdsmen-attacks-in-south-west-a-passing-phase-will-fizzle-out/
,,"JULY 25, 2019",,,Akeredolu orders arrest of Fulani Vigilante,https://www.vanguardngr.com/2019/07/akeredolu-orders-arrest-of-fulani-vigilante/
,,"JULY 25, 2019",,,"Olakunri: Season of tears, lies and denials",https://www.vanguardngr.com/2019/07/olakunri-season-of-tears-lies-and-denials/
,,"JULY 25, 2019",,,Buhari and the RUGA controversy,https://www.vanguardngr.com/2019/07/buhari-and-the-ruga-controversy/
,,"JULY 24, 2019",,,Herdsmen banditry as problem of Nigeria’s political elite,https://www.vanguardngr.com/2019/07/herdsmen-banditry-as-problem-of-nigerias-political-elite/
,,"JULY 23, 2019",,,Herdsmen want N30m for 3 ladies kidnapped on Lagos-Benin Road,https://www.vanguardngr.com/2019/07/herdsmen-want-n30m-for-3-ladies-kidnapped-on-lagos-benin-road/
,,"JULY 22, 2019",,,Farmers accuse FG of dumping ranching for Ruga,https://www.vanguardngr.com/2019/07/farmers-accuse-fg-of-dumping-ranching-for-ruga/
,,"JULY 21, 2019",,,"Stay where you are, Igbo in Kano tell Herdsmen",https://www.vanguardngr.com/2019/07/stay-where-you-are-igbo-in-kano-tell-herdsmen/
